benchmark,ipc,note
500.perlbench_r,0.427271,
502.gcc_r,0.276855,
505.mcf_r,0.816883,
520.omnetpp_r,0.426608,
523.xalancbmk_r,0.411891,
525.x264_r,0.563557,
541.leela_r,0.710948,
548.exchange2_r,0.838386,
557.xz_r,0.175303,
503.bwaves_r,0.207420,
507.cactuBSSN_r,0.539939,
508.namd_r,0.816332,
510.parest_r,0.451476,
511.povray_r,0.607411,
519.lbm_r,0.222958,
521.wrf_r,0.567953,
527.cam4_r,0.371121,
538.imagick_r,0.658341,
544.nab_r,0.715612,
549.fotonik3d_r,0.710316,
554.roms_r,0.381109,
