benchmark,ipc,note
500.perlbench_r,0.590288,
502.gcc_r,0.488838,
505.mcf_r,1.335261,
520.omnetpp_r,0.696855,
523.xalancbmk_r,0.679216,
525.x264_r,0.851093,
541.leela_r,1.608391,
548.exchange2_r,1.468857,
557.xz_r,0.180804,
503.bwaves_r,0.244112,
507.cactuBSSN_r,0.985073,
508.namd_r,1.340342,
510.parest_r,0.742540,
511.povray_r,1.159803,
519.lbm_r,0.294675,
521.wrf_r,0.622445,
527.cam4_r,0.535951,
538.imagick_r,1.095721,
544.nab_r,1.494938,
549.fotonik3d_r,1.364404,
554.roms_r,0.525782,
