benchmark,ipc,note
500.perlbench_r,0.501474,
502.gcc_r,0.304687,
505.mcf_r,1.125100,
520.omnetpp_r,0.522210,
523.xalancbmk_r,0.484634,
525.x264_r,0.782051,
541.leela_r,1.273929,
548.exchange2_r,1.105212,
557.xz_r,0.181186,
503.bwaves_r,0.235714,
507.cactuBSSN_r,0.721073,
508.namd_r,1.088527,
510.parest_r,0.553106,
511.povray_r,0.878676,
519.lbm_r,0.243449,
521.wrf_r,0.599022,
527.cam4_r,0.433797,
538.imagick_r,0.949291,
544.nab_r,1.030562,
549.fotonik3d_r,0.970885,
554.roms_r,0.433229,
