benchmark,ipc,note
500.perlbench_r,0.606321,
502.gcc_r,0.494730,
505.mcf_r,1.410309,
520.omnetpp_r,0.724967,
523.xalancbmk_r,0.700947,
525.x264_r,0.851869,
541.leela_r,1.617994,
548.exchange2_r,1.522993,
557.xz_r,0.181455,
503.bwaves_r,0.244101,
507.cactuBSSN_r,1.053753,
508.namd_r,1.490538,
510.parest_r,0.769444,
511.povray_r,1.220923,
519.lbm_r,0.300573,
521.wrf_r,0.628773,
527.cam4_r,0.553085,
538.imagick_r,1.148751,
544.nab_r,1.566713,
549.fotonik3d_r,1.475467,
554.roms_r,0.541544,
